N,kappa,Om,aO,reGa,imGa,psi,ok
3,0.6220735785953178,2.1122419095874903,11715.841140214066,-0.43519567803109055,-0.0332417026501993,0.07638334737282133,True
3,0.6220735785953178,2.1089700231724082,16014.886781201554,-0.4386204263564295,-0.03395174428245096,0.07740575277007565,True
3,0.7675585284280937,2.1734051268423156,21781.936986897676,-0.30261570723135983,-0.006910283938294123,0.02283517931543117,True
3,0.7675585284280937,2.169715830797255,32962.21434121449,-0.30416334959008545,-0.006985085421662753,0.022964914842884276,True
3,1.0936454849498327,1.8742643484004975,6771.6100125458925,-0.46270618113305256,-0.014171683814588274,0.03062782472428905,True
3,1.0936454849498327,1.8782359069637284,5032.716792219283,-0.45904062639840193,-0.01401108787851318,0.030522544351778005,True
3,0.391304347826087,2.0712016329819054,28093.69622078783,-0.3521506826618362,-0.008889181620776808,0.02524255115334513,True
3,0.391304347826087,2.069629063420223,34891.55512594877,-0.3530101119569197,-0.008921981892187566,0.025274012244942086,True
3,0.7224080267558528,2.473580419497345,100180.60949983365,-0.2620913099244978,-0.007140784502180773,0.027245407351498458,True
3,0.7224080267558528,2.4726960122203314,118592.56172774834,-0.2624526796114859,-0.007165825959413703,0.027303306523756673,True
3,0.1354515050167224,1.5087623611940257,11898.489020500947,-0.8489353284221086,-0.051529903773744265,0.06069944558618075,True
3,0.1354515050167224,1.506626486582628,19163.4835238097,-0.85365813720658,-0.05203267674691422,0.06095259270553012,True
3,0.637123745819398,2.1283621512737163,14156.612235982635,-0.3271444728321708,-0.008258671059277188,0.02524472135439069,True
3,0.637123745819398,2.1236877058152355,22507.232169877156,-0.32934548808053726,-0.008349364604504611,0.025351386026769798,True
4,0.4866220735785953,1.0761278516297403,-13.88532542695442,1.1966603633141781,-0.14254330630865372,0.119117596503219,True
4,0.4866220735785953,1.0913711264899932,-153.52694401754573,1.316249563885,-0.1755199690955108,0.13334854871856647,True
4,0.2959866220735786,1.6051095234005335,4172.470335189749,-0.9285065213244429,-0.05868479464792128,0.0632034275475114,True
4,0.2959866220735786,1.6014045997246278,7114.268475394425,-0.9393437157848533,-0.0599118416140925,0.06378053167049097,True
4,0.5719063545150502,2.36985088212934,15589.240474511711,-0.30422643471787414,-0.01588352691230064,0.05220955544849449,True
4,0.5719063545150502,2.365853247285362,21122.70900713753,-0.3068915183528235,-0.016693765367668895,0.05439630738988556,True
4,0.24581939799331104,1.9459291706367032,22997.544139613525,-0.41884909107645735,-0.020471371773589372,0.048875292342111104,True
4,0.24581939799331104,1.941229991804257,61904.80924441743,-0.42230753248171476,-0.02065538569317723,0.048910767875236925,True
4,0.6120401337792643,2.1110397982391746,2449.580137431351,-0.671181804705398,-0.12666537493791435,0.18871991768834023,True
4,0.6120401337792643,2.106584920455748,748.0388404701444,-0.7007858867274038,-0.1510352452876079,0.2155226698313326,True
4,0.11538461538461539,1.3180902204671316,1026.2912473094077,-1.6377295018807057,-0.0789210627159123,0.04818931491756263,True
4,0.11538461538461539,1.3121591393868257,5565.5190639769535,-1.6821032478291458,-0.08285068578121525,0.0492542213970153,True
4,0.9080267558528429,1.8924234739705994,1704.3815199846435,-1.2912042682124334,-0.1587767793891525,0.12296797903941717,True
4,0.9080267558528429,1.8870069361183457,2537.6155273121312,-1.3529309984699183,-0.176985724489586,0.13081651960798146,True
4,0.3862876254180602,1.8919814921097406,5157.632847097027,-0.44779323533420157,-0.022967112155596967,0.05128954692327123,True
4,0.3862876254180602,1.8841663342176123,10016.352466135637,-0.4539570477420906,-0.023508054620512184,0.05178475527021217,True
4,1.3043478260869565,1.7717717505377522,1645.4130743692729,-0.6219312770656052,-0.06920891775851017,0.1112806515939374,True
4,1.3043478260869565,1.7638308240661362,2297.0601648242273,-0.6405241172210415,-0.07210326911244652,0.1125691713612152,True
4,0.5518394648829431,2.1639026765936453,8765.13220839925,-0.3143876322487557,-0.011824812852307447,0.03761220747688699,True
4,0.5518394648829431,2.155399903954257,17532.515708662544,-0.3184677854037019,-0.012027599557166396,0.03776708385722516,True
4,0.9080267558528429,2.609594043559213,31560.779025952,-0.21451392511013526,-0.014459833247637957,0.06740743399391914,True
4,0.9080267558528429,2.6076936518613314,37643.16086183328,-0.2151459203153712,-0.014131914120639355,0.06568525259472324,True
4,0.43645484949832775,2.054151472281714,22366.11091248619,-0.34458055266713605,-0.012310210220968952,0.03572520307859795,True
4,0.43645484949832775,2.0508477421615146,34021.86117620332,-0.3462907831039369,-0.012424629484068238,0.035879180417975685,True
4,0.822742474916388,1.9221064405099948,21562.875431868633,-0.41428967099186637,-0.020592061868015214,0.0497045022114961,True
4,0.822742474916388,1.9236909417911023,17828.391472862746,-0.41292871215502186,-0.020514667421553247,0.04968089362081371,True
4,0.5518394648829431,1.6545615491004058,2484.607561437091,-0.6862968262822969,-0.024053271054840238,0.03504791241005436,True
4,0.5518394648829431,1.6477089340922875,4584.16021462682,-0.6976246674194297,-0.024740561334262202,0.03546400018476919,True
4,1.1137123745819397,1.8435165791563028,3168.453042157182,-0.8718453239332826,-0.1565721177422297,0.17958703619107932,True
4,1.1137123745819397,1.8405647695806453,2926.3185233052714,-0.8902085961823527,-0.1695414661478283,0.190451391814126,True
4,0.11538461538461539,1.1950415178092237,70.96356907307366,-3.7731349531856306,-1.0947366968484984,0.29013982018433243,True
4,0.11538461538461539,1.180154127713692,-5.88158751979595,-4.33746769741355,-1.4685921527358836,0.33858284491930885,False
4,0.3511705685618729,1.8349102611484474,7272.387987544704,-0.5598028647682185,-0.029935597279056557,0.05347524845456289,True
4,0.3511705685618729,1.829682856030679,14086.508856880897,-0.566123661756979,-0.030531250093700755,0.05393035507285855,True
4,0.7424749163879599,1.3927976786997796,-142.5840606361639,0.712598103527592,-0.06873570105869115,0.09645787817624984,True
4,0.7424749163879599,1.3955759333886113,-200.30909658186323,0.7202521366658942,-0.07042018047973793,0.09777156761480596,True
4,1.0434782608695652,2.71482353030076,26161.50101202308,-0.23226329439869742,-0.007535496913137669,0.03244377004401919,True
4,1.0434782608695652,2.7111626048755277,36211.43937602156,-0.23345211288701043,-0.007608250201816309,0.03259019636930278,True
4,0.2408026755852843,1.4813043442348504,1283.3647990873053,-1.2390256256437358,-0.14704184740072074,0.11867538843220063,True
4,0.2408026755852843,1.4742298833869956,2670.754971104139,-1.2730414312599954,-0.15455436315139645,0.1214056034283393,True
4,0.4665551839464883,2.185220495665924,9493.190700515797,-0.33363244393462466,-0.013849868354953892,0.041512354708727835,True
4,0.4665551839464883,2.179905142414821,14336.185588303963,-0.33636285256038984,-0.014032324597412072,0.04171781898803091,True
4,1.3294314381270904,2.5169855875593576,34900.205305188334,-0.22406550654314727,-0.006823567852357997,0.03045345067891569,True
4,1.3294314381270904,2.5140401085222193,46731.77411724794,-0.22483654900276548,-0.006863877198444146,0.03052829812985486,True
4,0.12040133779264214,1.3495721877134916,2154.071449422812,-1.4065555094454,-0.09753172176272328,0.0693408266561621,True
4,0.12040133779264214,1.345056457266829,4978.62765953816,-1.431986848361664,-0.10060458115222291,0.07025524100820102,True
4,0.2709030100334448,1.571689691507589,2151.9422088944752,-0.8842410664692097,-0.051920212631769304,0.058717260033044644,True
4,0.2709030100334448,1.5639423288113885,5963.177477996684,-0.9066843404914648,-0.05513510121786235,0.06080958802925457,True
