J,fd,F,code,kind
5.0,-51.24627870309242,199.99914458600261,0,real
5.0,-51.24627870309242,205.460417022665,0,real
5.0,-51.24627870309242,210.9216894593274,0,real
5.0,-51.24627870309242,216.3829618959898,0,real
5.0,-51.24627870309242,221.84423433265223,0,real
5.0,-51.24627870309242,227.30550676931466,0,real
5.0,-51.24627870309242,232.76677920597706,0,real
5.0,-51.24627870309242,238.22805164263946,0,real
5.0,-51.24627870309242,243.68932407930185,0,real
5.0,-51.24627870309242,249.15059651596428,0,real
5.0,-51.22307870309242,136.17697455518956,0,real
5.0,-51.22307870309242,141.4027288335524,0,real
5.0,-51.22307870309242,146.62848311191522,0,real
5.0,-51.22307870309242,151.85423739027806,0,real
5.0,-51.22307870309242,157.0799916686409,0,real
5.0,-51.22307870309242,162.30574594700374,0,real
5.0,-51.22307870309242,167.53150022536659,0,real
5.0,-51.22307870309242,172.7572545037294,0,real
5.0,-51.22307870309242,177.98300878209224,0,real
5.0,-51.22307870309242,183.20876306045508,0,real
5.0,-51.22307870309242,188.4345173388179,0,real
5.0,-51.22307870309242,193.66027161718074,0,real
5.0,-51.22307870309242,198.88602589554358,0,real
5.0,-51.22307870309242,204.11178017390642,0,real
5.0,-51.22307870309242,209.33753445226927,0,real
5.0,-51.22307870309242,214.5632887306321,0,real
5.0,-51.22307870309242,219.78904300899495,0,real
5.0,-51.22307870309242,225.01479728735777,0,real
5.0,-51.22307870309242,230.2405515657206,0,real
5.0,-51.22307870309242,235.46630584408342,0,real
5.0,-51.22307870309242,240.69206012244626,0,real
5.0,-51.22307870309242,245.9178144008091,0,real
5.0,-51.19987870309242,137.9692243274115,0,real
5.0,-51.19987870309242,142.95344871328652,0,real
5.0,-51.19987870309242,147.93767309916157,0,real
5.0,-51.19987870309242,152.9218974850366,0,real
5.0,-51.19987870309242,157.90612187091165,0,real
5.0,-51.19987870309242,162.8903462567867,0,real
5.0,-51.19987870309242,167.87457064266172,0,real
5.0,-51.19987870309242,172.85879502853678,0,real
5.0,-51.19987870309242,177.8430194144118,0,real
5.0,-51.19987870309242,182.82724380028685,0,real
5.0,-51.19987870309242,187.81146818616187,0,real
5.0,-51.19987870309242,192.79569257203693,0,real
5.0,-51.19987870309242,197.77991695791195,0,real
5.0,-51.19987870309242,202.764141343787,0,real
5.0,-51.19987870309242,207.74836572966205,0,real
5.0,-51.19987870309242,212.73259011553708,0,real
5.0,-51.19987870309242,217.7168145014121,0,real
5.0,-51.19987870309242,222.70103888728715,0,real
5.0,-51.19987870309242,227.6852632731622,0,real
5.0,-51.19987870309242,232.66948765903723,0,real
5.0,-51.19987870309242,237.65371204491225,0,real
5.0,-51.19987870309242,242.6379364307873,0,real
5.0,-51.17667870309242,139.84434366488006,0,real
5.0,-51.17667870309242,144.58095819545923,0,real
5.0,-51.17667870309242,149.3175727260384,0,real
5.0,-51.17667870309242,154.05418725661758,0,real
5.0,-51.17667870309242,158.79080178719676,0,real
5.0,-51.17667870309242,163.52741631777593,0,real
5.0,-51.17667870309242,168.26403084835513,0,real
5.0,-51.17667870309242,173.0006453789343,0,real
5.0,-51.17667870309242,177.73725990951348,0,real
5.0,-51.17667870309242,182.47387444009266,0,real
5.0,-51.17667870309242,187.21048897067183,0,real
5.0,-51.17667870309242,191.94710350125104,0,real
5.0,-51.17667870309242,196.6837180318302,0,real
5.0,-51.17667870309242,201.42033256240938,0,real
5.0,-51.17667870309242,206.15694709298856,0,real
5.0,-51.17667870309242,210.89356162356773,0,real
5.0,-51.17667870309242,215.6301761541469,0,real
5.0,-51.17667870309242,220.36679068472608,0,real
5.0,-51.17667870309242,225.10340521530526,0,real
5.0,-51.17667870309242,229.84001974588446,0,real
5.0,-51.17667870309242,234.57663427646364,0,real
5.0,-51.17667870309242,239.3132488070428,0,real
5.0,-51.153478703092425,141.8061000370859,0,real
5.0,-51.153478703092425,146.2889891184322,0,real
5.0,-51.153478703092425,150.7718781997785,0,real
5.0,-51.153478703092425,155.2547672811248,0,real
5.0,-51.153478703092425,159.7376563624711,0,real
5.0,-51.153478703092425,164.2205454438174,0,real
5.0,-51.153478703092425,168.70343452516371,0,real
5.0,-51.153478703092425,173.18632360651,0,real
5.0,-51.153478703092425,177.66921268785632,0,real
5.0,-51.153478703092425,182.1521017692026,0,real
5.0,-51.153478703092425,186.6349908505489,0,real
5.0,-51.153478703092425,191.1178799318952,0,real
5.0,-51.153478703092425,195.60076901324152,0,real
5.0,-51.153478703092425,200.0836580945878,0,real
5.0,-51.153478703092425,204.56654717593412,0,real
5.0,-51.153478703092425,209.04943625728043,0,real
5.0,-51.153478703092425,213.53232533862672,0,real
5.0,-51.153478703092425,218.015214419973,0,real
5.0,-51.153478703092425,222.4981035013193,0,real
5.0,-51.153478703092425,226.9809925826656,0,real
5.0,-51.153478703092425,231.46388166401192,0,real
5.0,-51.153478703092425,235.9467707453582,0,real
5.0,-51.13027870309242,143.85826195487226,0,real
5.0,-51.13027870309242,148.0813166219909,0,real
5.0,-51.13027870309242,152.30437128910953,0,real
5.0,-51.13027870309242,156.52742595622817,0,real
5.0,-51.13027870309242,160.7504806233468,0,real
5.0,-51.13027870309242,164.97353529046543,0,real
5.0,-51.13027870309242,169.19658995758408,0,real
5.0,-51.13027870309242,173.4196446247027,0,real
5.0,-51.13027870309242,177.64269929182134,0,real
5.0,-51.13027870309242,181.86575395894,0,real
5.0,-51.13027870309242,186.0888086260586,0,real
5.0,-51.13027870309242,190.31186329317725,0,real
5.0,-51.13027870309242,194.5349179602959,0,real
5.0,-51.13027870309242,198.75797262741452,0,real
5.0,-51.13027870309242,202.98102729453316,0,real
5.0,-51.13027870309242,207.2040819616518,0,real
5.0,-51.13027870309242,211.42713662877043,0,real
5.0,-51.13027870309242,215.65019129588904,0,real
5.0,-51.13027870309242,219.8732459630077,0,real
5.0,-51.13027870309242,224.09630063012634,0,real
5.0,-51.13027870309242,228.31935529724495,0,real
5.0,-51.13027870309242,232.54240996436357,0,real
5.0,-51.10707870309242,146.00453299313722,0,real
5.0,-51.10707870309242,149.96170540059134,0,real
5.0,-51.10707870309242,153.91887780804547,0,real
5.0,-51.10707870309242,157.87605021549956,0,real
5.0,-51.10707870309242,161.83322262295368,0,real
5.0,-51.10707870309242,165.79039503040778,0,real
5.0,-51.10707870309242,169.7475674378619,0,real
5.0,-51.10707870309242,173.70473984531603,0,real
5.0,-51.10707870309242,177.66191225277012,0,real
5.0,-51.10707870309242,181.61908466022425,0,real
