kappa,beta_1,branch,omega_cusp,F_cusp,y_cusp,alpha,beta
0.110000,1.210000,0,1.070432,8.127674e-03,4.312672e-02,-5.870624e-02,3.389407e-02
0.110000,1.306667,0,1.070432,7.821257e-03,3.993622e-02,-5.870624e-02,3.389407e-02
0.110000,1.403333,0,1.070432,7.547073e-03,3.718527e-02,-5.870624e-02,3.389407e-02
0.110000,1.500000,0,1.070432,7.299840e-03,3.478888e-02,-5.870624e-02,3.389407e-02
0.120000,0.050000,0,1.073480,4.070878e-02,1.056261e+00,-5.941467e-02,3.430308e-02
0.120000,0.146667,0,1.073480,2.376880e-02,3.600889e-01,-5.941467e-02,3.430308e-02
0.120000,0.243333,0,1.073480,1.845322e-02,2.170399e-01,-5.941467e-02,3.430308e-02
0.120000,0.340000,0,1.073480,1.561110e-02,1.553325e-01,-5.941467e-02,3.430308e-02
0.120000,0.436667,0,1.073480,1.377520e-02,1.209459e-01,-5.941467e-02,3.430308e-02
0.120000,0.533333,0,1.073480,1.246447e-02,9.902445e-02,-5.941467e-02,3.430308e-02
0.120000,0.630000,0,1.073480,1.146840e-02,8.383023e-02,-5.941467e-02,3.430308e-02
0.120000,0.726667,0,1.073480,1.067838e-02,7.267850e-02,-5.941467e-02,3.430308e-02
0.120000,0.823333,0,1.073480,1.003195e-02,6.414539e-02,-5.941467e-02,3.430308e-02
0.120000,0.920000,0,1.073480,9.490282e-03,5.740548e-02,-5.941467e-02,3.430308e-02
0.120000,1.016667,0,1.073480,9.027838e-03,5.194725e-02,-5.941467e-02,3.430308e-02
0.120000,1.113333,0,1.073480,8.627013e-03,4.743686e-02,-5.941467e-02,3.430308e-02
0.120000,1.210000,0,1.073480,8.275235e-03,4.364714e-02,-5.941467e-02,3.430308e-02
0.120000,1.306667,0,1.073480,7.963255e-03,4.041814e-02,-5.941467e-02,3.430308e-02
0.120000,1.403333,0,1.073480,7.684093e-03,3.763400e-02,-5.941467e-02,3.430308e-02
0.120000,1.500000,0,1.073480,7.432372e-03,3.520869e-02,-5.941467e-02,3.430308e-02
0.120000,0.050000,1,1.298461,1.170587e+00,9.913979e+00,-5.576613e-01,3.219663e-01
0.120000,0.146667,1,1.298461,6.834754e-01,3.379766e+00,-5.576613e-01,3.219663e-01
0.120000,0.243333,1,1.298461,5.306251e-01,2.037119e+00,-5.576613e-01,3.219663e-01
0.120000,0.340000,1,1.298461,4.488995e-01,1.457938e+00,-5.576613e-01,3.219663e-01
0.120000,0.436667,1,1.298461,3.961080e-01,1.135188e+00,-5.576613e-01,3.219663e-01
0.120000,0.533333,1,1.298461,3.584175e-01,9.294355e-01,-5.576613e-01,3.219663e-01
0.120000,0.630000,1,1.298461,3.297755e-01,7.868237e-01,-5.576613e-01,3.219663e-01
0.120000,0.726667,1,1.298461,3.070584e-01,6.821545e-01,-5.576613e-01,3.219663e-01
0.120000,0.823333,1,1.298461,2.884701e-01,6.020635e-01,-5.576613e-01,3.219663e-01
0.120000,0.920000,1,1.298461,2.728944e-01,5.388032e-01,-5.576613e-01,3.219663e-01
0.120000,1.016667,1,1.298461,2.595968e-01,4.875727e-01,-5.576613e-01,3.219663e-01
0.120000,1.113333,1,1.298461,2.480710e-01,4.452386e-01,-5.576613e-01,3.219663e-01
0.120000,1.210000,1,1.298461,2.379556e-01,4.096685e-01,-5.576613e-01,3.219663e-01
0.120000,1.306667,1,1.298461,2.289846e-01,3.793614e-01,-5.576613e-01,3.219663e-01
0.120000,1.403333,1,1.298461,2.209572e-01,3.532296e-01,-5.576613e-01,3.219663e-01
0.120000,1.500000,1,1.298461,2.137189e-01,3.304660e-01,-5.576613e-01,3.219663e-01
0.120000,0.050000,2,1.305037,9.794675e-01,8.803171e+00,-4.951784e-01,2.858914e-01
0.120000,0.146667,2,1.305037,5.718858e-01,3.001081e+00,-4.951784e-01,2.858914e-01
0.120000,0.243333,2,1.305037,4.439911e-01,1.808871e+00,-4.951784e-01,2.858914e-01
0.120000,0.340000,2,1.305037,3.756087e-01,1.294584e+00,-4.951784e-01,2.858914e-01
0.120000,0.436667,2,1.305037,3.314363e-01,1.007997e+00,-4.951784e-01,2.858914e-01
0.120000,0.533333,2,1.305037,2.998995e-01,8.252973e-01,-4.951784e-01,2.858914e-01
0.120000,0.630000,2,1.305037,2.759337e-01,6.986644e-01,-4.951784e-01,2.858914e-01
0.120000,0.726667,2,1.305037,2.569256e-01,6.057228e-01,-4.951784e-01,2.858914e-01
0.120000,0.823333,2,1.305037,2.413722e-01,5.346055e-01,-4.951784e-01,2.858914e-01
0.120000,0.920000,2,1.305037,2.283395e-01,4.784332e-01,-4.951784e-01,2.858914e-01
0.120000,1.016667,2,1.305037,2.172130e-01,4.329429e-01,-4.951784e-01,2.858914e-01
0.120000,1.113333,2,1.305037,2.075690e-01,3.953520e-01,-4.951784e-01,2.858914e-01
0.120000,1.210000,2,1.305037,1.991051e-01,3.637674e-01,-4.951784e-01,2.858914e-01
0.120000,1.306667,2,1.305037,1.915987e-01,3.368560e-01,-4.951784e-01,2.858914e-01
0.120000,1.403333,2,1.305037,1.848820e-01,3.136522e-01,-4.951784e-01,2.858914e-01
0.120000,1.500000,2,1.305037,1.788255e-01,2.934390e-01,-4.951784e-01,2.858914e-01
0.130000,0.050000,0,1.076392,4.146717e-02,1.069339e+00,-6.015031e-02,3.472781e-02
0.130000,0.146667,0,1.076392,2.421161e-02,3.645474e-01,-6.015031e-02,3.472781e-02
0.130000,0.243333,0,1.076392,1.879700e-02,2.197272e-01,-6.015031e-02,3.472781e-02
0.130000,0.340000,0,1.076392,1.590193e-02,1.572557e-01,-6.015031e-02,3.472781e-02
0.130000,0.436667,0,1.076392,1.403183e-02,1.224434e-01,-6.015031e-02,3.472781e-02
0.130000,0.533333,0,1.076392,1.269668e-02,1.002505e-01,-6.015031e-02,3.472781e-02
0.130000,0.630000,0,1.076392,1.168205e-02,8.486817e-02,-6.015031e-02,3.472781e-02
0.130000,0.726667,0,1.076392,1.087732e-02,7.357836e-02,-6.015031e-02,3.472781e-02
0.130000,0.823333,0,1.076392,1.021884e-02,6.493961e-02,-6.015031e-02,3.472781e-02
0.130000,0.920000,0,1.076392,9.667083e-03,5.811624e-02,-6.015031e-02,3.472781e-02
0.130000,1.016667,0,1.076392,9.196024e-03,5.259044e-02,-6.015031e-02,3.472781e-02
0.130000,1.113333,0,1.076392,8.787731e-03,4.802420e-02,-6.015031e-02,3.472781e-02
0.130000,1.210000,0,1.076392,8.429401e-03,4.418756e-02,-6.015031e-02,3.472781e-02
0.130000,1.306667,0,1.076392,8.111608e-03,4.091858e-02,-6.015031e-02,3.472781e-02
0.130000,1.403333,0,1.076392,7.827246e-03,3.809996e-02,-6.015031e-02,3.472781e-02
0.130000,1.500000,0,1.076392,7.570834e-03,3.564463e-02,-6.015031e-02,3.472781e-02
0.130000,0.050000,1,1.297431,1.385011e+00,1.109042e+01,-6.238361e-01,3.601721e-01
0.130000,0.146667,1,1.297431,8.086725e-01,3.780825e+00,-6.238361e-01,3.601721e-01
0.130000,0.243333,1,1.297431,6.278235e-01,2.278853e+00,-6.238361e-01,3.601721e-01
0.130000,0.340000,1,1.297431,5.311276e-01,1.630944e+00,-6.238361e-01,3.601721e-01
0.130000,0.436667,1,1.297431,4.686659e-01,1.269895e+00,-6.238361e-01,3.601721e-01
0.130000,0.533333,1,1.297431,4.240714e-01,1.039727e+00,-6.238361e-01,3.601721e-01
0.130000,0.630000,1,1.297431,3.901828e-01,8.801920e-01,-6.238361e-01,3.601721e-01
0.130000,0.726667,1,1.297431,3.633045e-01,7.631023e-01,-6.238361e-01,3.601721e-01
0.130000,0.823333,1,1.297431,3.413112e-01,6.735073e-01,-6.238361e-01,3.601721e-01
0.130000,0.920000,1,1.297431,3.228825e-01,6.027402e-01,-6.238361e-01,3.601721e-01
0.130000,1.016667,1,1.297431,3.071490e-01,5.454305e-01,-6.238361e-01,3.601721e-01
0.130000,1.113333,1,1.297431,2.935119e-01,4.980727e-01,-6.238361e-01,3.601721e-01
0.130000,1.210000,1,1.297431,2.815436e-01,4.582818e-01,-6.238361e-01,3.601721e-01
0.130000,1.306667,1,1.297431,2.709293e-01,4.243783e-01,-6.238361e-01,3.601721e-01
0.130000,1.403333,1,1.297431,2.614315e-01,3.951456e-01,-6.238361e-01,3.601721e-01
0.130000,1.500000,1,1.297431,2.528673e-01,3.696807e-01,-6.238361e-01,3.601721e-01
